N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,64000.0,800.0,+1.27%,100.0,3022314.0,4484245.0,433766.0
2.0,LG에너지솔루션,584000.0,4000.0,-0.68%,500.0,255986.0,382994.0,12137.0
3.0,SK하이닉스,88600.0,200.0,-0.23%,5000.0,446216.0,1038715.0,68094.0
4.0,삼성바이오로직스,788000.0,6000.0,+0.77%,2500.0,30013.0,165821.0,9836.0
5.0,삼성SDI,735000.0,14000.0,+1.94%,5000.0,201241.0,302575.0,18080.0
6.0,LG화학,712000.0,16000.0,+2.30%,5000.0,518649.0,679738.0,29957.0
7.0,삼성전자우,53900.0,500.0,+0.94%,100.0,,,
8.0,현대차,184500.0,3300.0,+1.82%,5000.0,1425275.0,2557425.0,98198.0
9.0,NAVER,202000.0,1000.0,+0.50%,100.0,82201.0,338990.0,13047.0
10.0,기아,81000.0,1600.0,+2.02%,5000.0,865590.0,737110.0,72331.0
11.0,POSCO홀딩스,368000.0,28500.0,+8.39%,5000.0,847502.0,984068.0,48501.0
12.0,카카오,61100.0,1000.0,+1.66%,100.0,71068.0,229635.0,5803.0
13.0,포스코케미칼,272500.0,11000.0,+4.21%,500.0,33019.0,46375.0,1659.0
14.0,셀트리온,149800.0,1200.0,+0.81%,1000.0,22840.0,58917.0,6472.0
15.0,현대모비스,216000.0,3000.0,+1.41%,5000.0,519063.0,554067.0,20265.0
16.0,삼성물산,108200.0,300.0,-0.28%,100.0,431617.0,589815.0,25285.0
17.0,KB금융,47650.0,450.0,+0.95%,5000.0,888959.0,7011708.0,56389.0
18.0,LG전자,115300.0,2200.0,+1.95%,5000.0,834673.0,551561.0,35510.0
19.0,신한지주,35350.0,250.0,+0.71%,5000.0,354133.0,6758843.0,58881.0
20.0,SK이노베이션,179300.0,7900.0,-4.22%,5000.0,780569.0,672189.0,39173.0
21.0,LG,82800.0,1200.0,+1.47%,5000.0,71860.0,296337.0,19414.0
22.0,SK,172500.0,300.0,-0.17%,200.0,1345516.0,1945059.0,80047.0
